Título,Endereço,Metro_m2,N_Quartos,N_Banheiros,N_Garagens,Valor_Mensal
"Apartamento com 3 Quartos para Aluguel, 130m²","Rua Doutor Mário Natividade, 1080 - Taquaral, Campinas - SP",130,"3
              

                Quartos","3
              

                Banheiros","2
                

                  Vagas","R$ 5.200
                      /Mês"
"Sala/Conjunto com 2 Quartos para Aluguel, 132m²","Rua Tiradentes, 289 - Vila Itapura, Campinas - SP",132,"2
              

                Quartos","2
              

                Banheiros","3
                

                  Vagas","R$ 4.200
                      /Mês"
"Casa com 3 Quartos para Aluguel, 250m²","Parque São Quirino, Campinas - SP",250,"3
              

                Quartos","4
              

                Banheiros","6
                

                  Vagas","R$ 3.800
                      /Mês"
"Casa de condomínio com 5 Quartos para Aluguel, 480m²","Rua Professor Roberto Magalhães Randi, 107 - Loteamento Mont Blanc Residence, Campinas - SP",480,"5
              

                Quartos","8
              

                Banheiros","6
                

                  Vagas","R$ 24.000
                      /Mês"
Apartamento com  Quarto para Venda/Aluguel 50m²,"Rua José de Alencar, 463 - Centro, Campinas - SP",50,"1
              

                Quarto","1
              

                Banheiro","1
                

                  Vaga","R$ 700
                      /Mês


                    R$ 180.000"
"Apartamento com 3 Quartos para Aluguel, 114m²","Centro, Campinas - SP",114,"3
              

                Quartos","3
              

                Banheiros","2
                

                  Vagas","R$ 2.000
                      /Mês

Preço abaixo do mercado"
"Casa com 9 Quartos para Aluguel, 354m²","Avenida Marechal Rondon, 590 - Jardim Chapadão, Campinas - SP",354,"9
              

                Quartos","5
              

                Banheiros","8
                

                  Vagas","R$ 5.500
                      /Mês"
"Apartamento com 2 Quartos para Aluguel, 45m²","Rua Doutor Jeber Juabre - Jardim Márcia, Campinas - SP",45,"2
              

                Quartos","1
              

                Banheiro","1
                

                  Vaga","R$ 1.300
                      /Mês"
"Ponto comercial/Loja/Box    para Aluguel, 60m²","Rua Jornalista Ernesto Napoli - Jardim Paulicéia, Campinas - SP",60,"--
              

                Quarto","1
              

                Banheiro","2
                

                  Vagas","R$ 1.500
                      /Mês"
"Apartamento com 2 Quartos para Aluguel, 47m²","Rua Visconde de Congonhas do Campo, 1161 - Loteamento Parque São Martinho, Campinas - SP",47,"2
              

                Quartos","1
              

                Banheiro","1
                

                  Vaga","R$ 1.100
                      /Mês"
"Ponto comercial/Loja/Box com  Quarto para Aluguel, 63m²","Cambuí, Campinas - SP",63,"1
              

                Quarto","1
              

                Banheiro","--
                

                  Vaga","R$ 2.200
                      /Mês"
"Ponto comercial/Loja/Box    para Aluguel, 40m²","Rua Júlio Ribeiro, 20 - Bonfim, Campinas - SP",40,"--
              

                Quarto","1
              

                Banheiro","--
                

                  Vaga","R$ 750
                      /Mês"
Casa de condomínio com 3 Quartos para Venda/Aluguel 325m²,"Ville Sainte Helene, Campinas - SP",325,"3
              

                Quartos","3
              

                Banheiros","4
                

                  Vagas","R$ 7.990
                      /Mês


                    R$ 1.950.000"
"Casa com 3 Quartos para Aluguel, 100m²","Rua Antônio Pavin, 391 - Jardim Conceição, Campinas - SP",100,"3
              

                Quartos","1
              

                Banheiro","2
                

                  Vagas","R$ 2.500
                      /Mês"
"Apartamento com 3 Quartos para Aluguel, 68m²","Rua Joaquim Lacerda Coelho, 831 - Jardim Capivari, Campinas - SP",68,"3
              

                Quartos","2
              

                Banheiros","1
                

                  Vaga","R$ 1.350
                      /Mês"
"Apartamento com  Quarto para Aluguel, 50m²","Rua Riachuelo, 320 - Bosque, Campinas - SP",50,"1
              

                Quarto","2
              

                Banheiros","1
                

                  Vaga","R$ 1.100
                      /Mês"
Apartamento com 2 Quartos para Venda/Aluguel 50m²,"Parque Jambeiro, Campinas - SP",50,"2
              

                Quartos","1
              

                Banheiro","1
                

                  Vaga","R$ 1.050
                      /Mês


                    R$ 218.000"
"Apartamento com 2 Quartos para Aluguel, 60m²","Rua Oscar Leite, 200 - Ponte Preta, Campinas - SP",60,"2
              

                Quartos","2
              

                Banheiros","1
                

                  Vaga","R$ 2.300
                      /Mês"
"Casa de condomínio com 3 Quartos para Aluguel, 96m²","Fazenda Santa Cândida, Campinas - SP",96,"3
              

                Quartos","3
              

                Banheiros","2
                

                  Vagas","R$ 3.400
                      /Mês"
Apartamento com 3 Quartos para Venda/Aluguel 52m²,"Avenida Washington Luís, 4300 - Vila Marieta, Campinas - SP",52,"3
              

                Quartos","1
              

                Banheiro","1
                

                  Vaga","R$ 1.500
                      /Mês


                    R$ 277.000"
"Casa com 2 Quartos para Aluguel, 80m²","Rua João Constantino Nunes, 14 - Vila Lemos, Campinas - SP",80,"2
              

                Quartos","1
              

                Banheiro","1
                

                  Vaga","R$ 1.000
                      /Mês"
"Apartamento com  Quarto para Aluguel, 60m²","Rua Ernesto Khulmann, 80 - Centro, Campinas - SP",60,"1
              

                Quarto","1
              

                Banheiro","--
                

                  Vaga","R$ 1.100
                      /Mês"
"Casa com  Quarto para Aluguel, 45m²","Parque Fazendinha, Campinas - SP",45,"1
              

                Quarto","1
              

                Banheiro","--
                

                  Vaga","R$ 699
                      /Mês"
"Ponto comercial/Loja/Box    para Aluguel, 178m²","Cambuí, Campinas - SP",178,"--
              

                Quarto","3
              

                Banheiros","4
                

                  Vagas","R$ 4.200
                      /Mês"
"Apartamento com 3 Quartos para Aluguel, 100m²","Rua Santos Dumont, 300 - Cambuí, Campinas - SP",100,"3
              

                Quartos","4
              

                Banheiros","2
                

                  Vagas","R$ 3.000
                      /Mês"
"Apartamento com  Quarto para Aluguel, 50m²","Cambuí, Campinas - SP",50,"1
              

                Quarto","2
              

                Banheiros","1
                

                  Vaga","R$ 1.324
                      /Mês"
Casa de condomínio com 4 Quartos para Venda/Aluguel 350m²,"Avenida Dermival Bernardes Siqueira, 1874 - Swiss Park, Campinas - SP",350,"4
              

                Quartos","5
              

                Banheiros","4
                

                  Vagas","R$ 13.000
                      /Mês


                    R$ 2.000.000"
"Apartamento com  Quarto para Aluguel, 58m²","Rua Major Solon, 635 - Cambuí, Campinas - SP",58,"1
              

                Quarto","2
              

                Banheiros","1
                

                  Vaga","R$ 1.350
                      /Mês

Preço abaixo do mercado"
"Apartamento com 2 Quartos para Aluguel, 57m²","Parque Residencial Vila União, Campinas - SP",57,"2
              

                Quartos","1
              

                Banheiro","1
                

                  Vaga","R$ 1.100
                      /Mês"
"Casa com 3 Quartos para Aluguel, 210m²","Parque Alto Taquaral, Campinas - SP",210,"3
              

                Quartos","4
              

                Banheiros","4
                

                  Vagas","R$ 4.000
                      /Mês"
"Casa de condomínio com 4 Quartos para Aluguel, 300m²","Rua Mariazinha Leite Campagnolli, 1 - Parque Xangrilá, Campinas - SP",300,"4
              

                Quartos","4
              

                Banheiros","6
                

                  Vagas","R$ 3.800
                      /Mês"
"Cobertura com 3 Quartos para Aluguel, 130m²","Rua Jorge Krug, 309 - Vila Itapura, Campinas - SP",130,"3
              

                Quartos","3
              

                Banheiros","3
                

                  Vagas","R$ 2.500
                      /Mês

Preço abaixo do mercado"
Casa de condomínio com 4 Quartos para Venda/Aluguel 420m²,"Loteamento Mont Blanc Residence, Campinas - SP",420,"4
              

                Quartos","8
              

                Banheiros","4
                

                  Vagas","R$ 16.000
                      /Mês


                    R$ 2.900.000"
"Apartamento com 3 Quartos para Aluguel, 77m²","Rua Dona Prisciliana Soares, 120 - Cambuí, Campinas - SP",77,"3
              

                Quartos","2
              

                Banheiros","2
                

                  Vagas","R$ 4.800
                      /Mês"
Galpão/Depósito/Armazém    para Venda/Aluguel 419m²,"Cidade Universitária, Campinas - SP",419,"--
              

                Quarto","--
              

                Banheiro","--
                

                  Vaga","R$ 15.000
                      /Mês


                    R$ 2.950.000"
"Apartamento com 2 Quartos para Aluguel, 61m²","Rua Doutor João Quirino do Nascimento, 156 - Jardim Boa Esperança, Campinas - SP",61,"2
              

                Quartos","2
              

                Banheiros","1
                

                  Vaga","R$ 1.900
                      /Mês"
"Apartamento com 2 Quartos para Aluguel, 54m²","Rua Engenheiro Augusto de Figueiredo, 357 - Vila Progresso, Campinas - SP",54,"2
              

                Quartos","1
              

                Banheiro","1
                

                  Vaga","R$ 1.650
                      /Mês

Preço abaixo do mercado"
"Apartamento com 2 Quartos para Aluguel, 60m²","Ponte Preta, Campinas - SP",60,"2
              

                Quartos","2
              

                Banheiros","2
                

                  Vagas","R$ 2.800
                      /Mês"
"Galpão/Depósito/Armazém    para Aluguel, 530m²","Jardim São José, Campinas - SP",530,"--
              

                Quarto","4
              

                Banheiros","--
                

                  Vaga","R$ 5.500
                      /Mês"
Apartamento com 3 Quartos para Venda/Aluguel 74m²,"Rua Dona Prisciliana Soares - Cambuí, Campinas - SP",74,"3
              

                Quartos","3
              

                Banheiros","2
                

                  Vagas","R$ 4.500
                      /Mês


                    R$ 880.000"
"Casa com 2 Quartos para Aluguel, 124m²","Vila Nogueira, Campinas - SP",124,"2
              

                Quartos","1
              

                Banheiro","2
                

                  Vagas","R$ 1.900
                      /Mês"
"Casa com 2 Quartos para Aluguel, 85m²","Rua José Camargo, 39 - Jardim Nova Europa, Campinas - SP",85,"2
              

                Quartos","2
              

                Banheiros","2
                

                  Vagas","R$ 2.800
                      /Mês"
Casa de condomínio com 3 Quartos para Venda/Aluguel 200m²,"Rua Mata dos Pinhais, 61 - Bosque de Barão Geraldo, Campinas - SP",200,"3
              

                Quartos","3
              

                Banheiros","3
                

                  Vagas","R$ 4.000
                      /Mês


                    R$ 780.000"
"Casa de condomínio com 3 Quartos para Aluguel, 200m²","Rua Cataldo Bove, s/n - Colinas do Ermitage, Campinas - SP",200,"3
              

                Quartos","3
              

                Banheiros","2
                

                  Vagas","R$ 3.600
                      /Mês"
"Apartamento com  Quarto para Aluguel, 46m²","Rua Orlando Fagnani - Nova Campinas, Campinas - SP",46,"1
              

                Quarto","1
              

                Banheiro","1
                

                  Vaga","R$ 1.300
                      /Mês"
Casa de condomínio com 5 Quartos para Venda/Aluguel 600m²,"Rua Toi Shigueme - Loteamento Mont Blanc Residence, Campinas - SP",600,"5
              

                Quartos","8
              

                Banheiros","6
                

                  Vagas","R$ 35.000
                      /Mês


                    R$ 7.000.000"
"Apartamento com 2 Quartos para Aluguel, 74m²","Vila Itapura, Campinas - SP",74,"2
              

                Quartos","1
              

                Banheiro","1
                

                  Vaga","R$ 1.100
                      /Mês

Preço abaixo do mercado"
Apartamento com 4 Quartos para Venda/Aluguel 378m²,"Rua Conceição, 622 - Cambuí, Campinas - SP",378,"4
              

                Quartos","4
              

                Banheiros","2
                

                  Vagas","R$ 3.000
                      /Mês


                    R$ 1.250.000"
Casa com 4 Quartos à Venda/Aluguel 390m²,"Taquaral, Campinas - SP",390,"4
              

                Quartos","6
              

                Banheiros","6
                

                  Vagas","R$ 15.000
                      /Mês


                    R$ 1.699.000"
"Apartamento com 3 Quartos para Aluguel, 119m²","Rua São Salvador, 220 - Taquaral, Campinas - SP",119,"3
              

                Quartos","5
              

                Banheiros","3
                

                  Vagas","R$ 6.200
                      /Mês"
"Casa com 2 Quartos para Aluguel, 54m²","Vila Aeroporto I, Campinas - SP",54,"2
              

                Quartos","2
              

                Banheiros","1
                

                  Vaga","R$ 1.100
                      /Mês"
"Lote/Terreno    para Aluguel, 322m²","Rua General Marcondes Salgado, 280 - Centro, Campinas - SP",322,"--
              

                Quarto","--
              

                Banheiro","--
                

                  Vaga","R$ 1.600
                      /Mês"
"Casa com 4 Quartos para Aluguel, 266m²","Rua Doutor César Paranhos de Godoy, 100 - Jardim Chapadão, Campinas - SP",266,"4
              

                Quartos","5
              

                Banheiros","4
                

                  Vagas","R$ 5.900
                      /Mês"
"Apartamento com 3 Quartos para Aluguel, 65m²","Avenida João Erbolato, 835 - Jardim Chapadão, Campinas - SP",65,"3
              

                Quartos","3
              

                Banheiros","2
                

                  Vagas","R$ 1.600
                      /Mês"
Apartamento com 2 Quartos para Venda/Aluguel 50m²,"Rua Clara Camarão, 270 - Jardim Amazonas, Campinas - SP",50,"2
              

                Quartos","1
              

                Banheiro","1
                

                  Vaga","R$ 1.200
                      /Mês


                    R$ 230.000"
Apartamento com 2 Quartos para Venda/Aluguel 70m²,"Rua Lucindo Silva, 299 - Parque Fazendinha, Campinas - SP",70,"2
              

                Quartos","2
              

                Banheiros","2
                

                  Vagas","R$ 2.200
                      /Mês


                    R$ 370.000"
Casa com 4 Quartos à Venda/Aluguel 320m²,"Avenida Dermival Bernardes Siqueira, 1874 - Swiss Park, Campinas - SP",320,"4
              

                Quartos","6
              

                Banheiros","4
                

                  Vagas","R$ 13.000
                      /Mês


                    R$ 2.390.000"
"Apartamento com 3 Quartos para Aluguel, 67m²","Rua Ramão Olavo Saravy Filho - Jardim Myrian Moreira da Costa, Campinas - SP",67,"3
              

                Quartos","2
              

                Banheiros","1
                

                  Vaga","R$ 1.450
                      /Mês"
"Apartamento com 2 Quartos para Aluguel, 73m²","Rua Luiz Otávio, 2245 - Mansões Santo Antônio, Campinas - SP",73,"2
              

                Quartos","2
              

                Banheiros","2
                

                  Vagas","R$ 3.500
                      /Mês"
Casa de condomínio com 4 Quartos para Venda/Aluguel 295m²,"Avenida Dermival Bernardes Siqueira, 1874 - Swiss Park, Campinas - SP",295,"4
              

                Quartos","5
              

                Banheiros","4
                

                  Vagas","R$ 16.000
                      /Mês


                    R$ 2.450.000"
"Cobertura com 3 Quartos para Aluguel, 129m²","Rua Doutor Arnaldo de Carvalho, 600 - Jardim Chapadão, Campinas - SP",129,"3
              

                Quartos","3
              

                Banheiros","2
                

                  Vagas","R$ 2.650
                      /Mês"
"Apartamento com 2 Quartos para Aluguel, 60m²","Cambuí, Campinas - SP",60,"2
              

                Quartos","2
              

                Banheiros","2
                

                  Vagas","R$ 2.100
                      /Mês"
"Apartamento com 2 Quartos para Aluguel, 66m²","Rua da Abolição, 1000 - Ponte Preta, Campinas - SP",66,"2
              

                Quartos","2
              

                Banheiros","1
                

                  Vaga","R$ 3.000
                      /Mês"
Sala/Conjunto    para Venda/Aluguel 40m²,"Avenida José de Sousa Campos - Cambuí, Campinas - SP",40,"--
              

                Quarto","1
              

                Banheiro","1
                

                  Vaga","R$ 2.500
                      /Mês


                    R$ 490.000"
"Apartamento com 3 Quartos para Aluguel, 81m²","Vila Brandina, Campinas - SP",81,"3
              

                Quartos","2
              

                Banheiros","2
                

                  Vagas","R$ 3.000
                      /Mês"
"Ponto comercial/Loja/Box    para Aluguel, 261m²","Rua Doutor Carlos Guimarães, 54 . - Cambuí, Campinas - SP",261,"--
              

                Quarto","3
              

                Banheiros","3
                

                  Vagas","R$ 12.000
                      /Mês"
Casa de condomínio com 4 Quartos para Venda/Aluguel 400m²,"Avenida Dermival Bernardes Siqueira, 001 - Swiss Park, Campinas - SP",400,"4
              

                Quartos","6
              

                Banheiros","6
                

                  Vagas","R$ 35.000
                      /Mês


                    R$ 6.500.000"
"Casa com 2 Quartos para Aluguel, 80m²","Rua Professor Jorge Hennings, 34-A - Jardim Chapadão, Campinas - SP",80,"2
              

                Quartos","1
              

                Banheiro","1
                

                  Vaga","R$ 1.490
                      /Mês"
"Casa com 2 Quartos para Aluguel, 65m²","Vila Industrial, Campinas - SP",65,"2
              

                Quartos","2
              

                Banheiros","1
                

                  Vaga","R$ 1.200
                      /Mês"
"Apartamento com  Quarto para Aluguel, 50m²","Rua Major Solon - Cambuí, Campinas - SP",50,"1
              

                Quarto","1
              

                Banheiro","1
                

                  Vaga","R$ 1.600
                      /Mês"
Apartamento com 2 Quartos para Venda/Aluguel 43m²,"Rua Emerson da Silva Berton, 411 - Jardim Do Lago Continuacao, Campinas - SP",43,"2
              

                Quartos","1
              

                Banheiro","1
                

                  Vaga","R$ 700
                      /Mês


                    R$ 200.000"
"Apartamento com 3 Quartos para Aluguel, 76m²","Vila Industrial, Campinas - SP",76,"3
              

                Quartos","3
              

                Banheiros","1
                

                  Vaga","R$ 1.700
                      /Mês"
"Imóvel comercial com 3 Quartos para Aluguel, 228m²","Rua Vasco Fernandes Coutinho - Taquaral, Campinas - SP",228,"3
              

                Quartos","2
              

                Banheiros","2
                

                  Vagas","R$ 2.600
                      /Mês"
Casa de condomínio com 3 Quartos para Venda/Aluguel 400m²,"Rua Lupércio Arruda Camargo, 797 - Jardim Santana, Campinas - SP",400,"3
              

                Quartos","4
              

                Banheiros","4
                

                  Vagas","R$ 8.000
                      /Mês


                    R$ 2.900.000"
"Casa de condomínio com 2 Quartos para Aluguel, 60m²","Rua Lucas Nogueira Garcês - Vila Formosa, Campinas - SP",60,"2
              

                Quartos","1
              

                Banheiro","1
                

                  Vaga","R$ 1.250
                      /Mês"
Apartamento com 2 Quartos para Venda/Aluguel 55m²,"Rua Otávio Machado - Taquaral, Campinas - SP",55,"2
              

                Quartos","2
              

                Banheiros","1
                

                  Vaga","R$ 2.700
                      /Mês


                    R$ 550.000"
"Apartamento com 2 Quartos para Aluguel, 50m²","Rua Ubatuba, 140 - Jardim Nova Europa, Campinas - SP",50,"2
              

                Quartos","2
              

                Banheiros","1
                

                  Vaga","R$ 1.200
                      /Mês"
"Apartamento com 3 Quartos para Aluguel, 86m²","Rodovia Visconde de Porto Seguro, 200 - Vila Ipê, Campinas - SP",86,"3
              

                Quartos","2
              

                Banheiros","2
                

                  Vagas","R$ 2.800
                      /Mês"
"Apartamento com 2 Quartos para Aluguel, 65m²","Vila Marieta, Campinas - SP",65,"2
              

                Quartos","1
              

                Banheiro","1
                

                  Vaga","R$ 1.000
                      /Mês

Preço abaixo do mercado"
"Apartamento com  Quarto para Aluguel, 60m²","Rua São Pedro, 54 - Cambuí, Campinas - SP",60,"1
              

                Quarto","2
              

                Banheiros","1
                

                  Vaga","R$ 1.350
                      /Mês

Preço abaixo do mercado"
"Sala/Conjunto com 2 Quartos para Aluguel, 72m²","Avenida Barão de Itapura, 610 - Jardim Guanabara, Campinas - SP",72,"2
              

                Quartos","4
              

                Banheiros","2
                

                  Vagas","R$ 6.200
                      /Mês"
"Casa de condomínio com 3 Quartos para Aluguel, 90m²","Rua do Sol, 148 - Barão Geraldo, Campinas - SP",90,"3
              

                Quartos","3
              

                Banheiros","2
                

                  Vagas","R$ 2.500
                      /Mês"
Apartamento com 2 Quartos para Venda/Aluguel 104m²,"Rua Alecrins, n/a - Cambuí, Campinas - SP",104,"2
              

                Quartos","1
              

                Banheiro","2
                

                  Vagas","R$ 7.000
                      /Mês


                    R$ 1.200.000"
"Apartamento com 2 Quartos para Aluguel, 45m²","Rua Adib Zakia, 106 - Parque Alto Taquaral, Campinas - SP",45,"2
              

                Quartos","1
              

                Banheiro","1
                

                  Vaga","R$ 1.850
                      /Mês"
"Apartamento com 3 Quartos para Aluguel, 129m²","Rua Ataliba Camargo de Andrade, 172 - Cambuí, Campinas - SP",129,"3
              

                Quartos","3
              

                Banheiros","3
                

                  Vagas","R$ 6.500
                      /Mês"
Sala/Conjunto com  Quarto para Venda/Aluguel 22m²,"Rua Barão de Jaguara, 655 - Centro, Campinas - SP",22,"1
              

                Quarto","1
              

                Banheiro","1
                

                  Vaga","R$ 800
                      /Mês


                    R$ 170.000"
"Casa com 3 Quartos para Aluguel, 156m²","Rua Felipe Negrelli, 75 - Parque Beatriz, Campinas - SP",156,"3
              

                Quartos","3
              

                Banheiros","4
                

                  Vagas","R$ 2.200
                      /Mês"
"Sala/Conjunto    para Aluguel, 37m²","Avenida Dermival Bernardes Siqueira - Swiss Park, Campinas - SP",37,"--
              

                Quarto","1
              

                Banheiro","--
                

                  Vaga","R$ 1.950
                      /Mês"
"Apartamento com  Quarto para Aluguel, 52m²","Cambuí, Campinas - SP",52,"1
              

                Quarto","2
              

                Banheiros","1
                

                  Vaga","R$ 1.412
                      /Mês"
"Casa com 5 Quartos para Aluguel, 441m²","Avenida José Bonifácio, 354 - Jardim Flamboyant, Campinas - SP",441,"5
              

                Quartos","2
              

                Banheiros","4
                

                  Vagas","R$ 9.900
                      /Mês"
Casa com 3 Quartos para Venda/Aluguel 330m²,"Rua 34A, 50 - Swiss Park, Campinas - SP",330,"3
              

                Quartos","5
              

                Banheiros","4
                

                  Vagas","R$ 12.000
                      /Mês


                    R$ 2.050.000"
Apartamento com 3 Quartos para Venda/Aluguel 86m²,"Rua Francisco de Assis Pupo, 507 - Vila Industrial, Campinas - SP",86,"3
              

                Quartos","2
              

                Banheiros","1
                

                  Vaga","R$ 1.396
                      /Mês


                    R$ 399.996"
"Sala/Conjunto com  Quarto para Aluguel, 480m²","Rodovia Dom Pedro I, 505 - Jardim Madalena, Campinas - SP",480,"1
              

                Quarto","4
              

                Banheiros","14
                

                  Vagas","R$ 45.000
                      /Mês"
Casa de condomínio com 3 Quartos para Venda/Aluguel 197m²,"Loteamento Caminhos de San Conrado, Campinas - SP",197,"3
              

                Quartos","5
              

                Banheiros","2
                

                  Vagas","R$ 5.000
                      /Mês


                    R$ 1.100.000"
Apartamento com 4 Quartos para Venda/Aluguel 525m²,"Rua Joaquim Gomes Pinto - Cambuí, Campinas - SP",525,"4
              

                Quartos","8
              

                Banheiros","4
                

                  Vagas","R$ 16.000
                      /Mês


                    R$ 4.250.000"
"Apartamento com 2 Quartos para Aluguel, 44m²","Rua Manoel Dias Pimenta, 387 - Parque Residencial Caiapo, Campinas - SP",44,"2
              

                Quartos","1
              

                Banheiro","1
                

                  Vaga","R$ 800
                      /Mês"
"Apartamento com 2 Quartos para Aluguel, 73m²","Rua Paraibuna, 393 - Jardim Flamboyant, Campinas - SP",73,"2
              

                Quartos","2
              

                Banheiros","1
                

                  Vaga","R$ 1.200
                      /Mês

Preço abaixo do mercado"
"Apartamento com 2 Quartos para Aluguel, 62m²","Avenida General Carneiro - Vila João Jorge, Campinas - SP",62,"2
              

                Quartos","2
              

                Banheiros","1
                

                  Vaga","R$ 1.800
                      /Mês"
"Casa com 2 Quartos para Aluguel, 197m²","Rua Monsenhor Fergo O'Connor de Camargo Dauntre, 478 - Swift, Campinas - SP",197,"2
              

                Quartos","1
              

                Banheiro","2
                

                  Vagas","R$ 1.800
                      /Mês

Preço abaixo do mercado"
"Casa com 3 Quartos para Aluguel, 208m²","Avenida Dermival Bernardes Siqueira, 3741 - Swiss Park, Campinas - SP",208,"3
              

                Quartos","5
              

                Banheiros","2
                

                  Vagas","R$ 9.800
                      /Mês"
Apartamento com 3 Quartos para Venda/Aluguel 163m²,"Avenida Maria Emília Alves dos Santos de Ângelis, 660 - Parque Prado, Campinas - SP",163,"3
              

                Quartos","5
              

                Banheiros","3
                

                  Vagas","R$ 9.500
                      /Mês


                    R$ 1.650.000"
"Apartamento com  Quarto para Aluguel, 60m²","Cidade Universitária, Campinas - SP",60,"1
              

                Quarto","1
              

                Banheiro","1
                

                  Vaga","R$ 2.100
                      /Mês

Preço abaixo do mercado"
"Apartamento com 2 Quartos para Aluguel, 61m²","Rua Madalena Barbosa Ferreira, 487 - Vila Lemos, Campinas - SP",61,"2
              

                Quartos","1
              

                Banheiro","1
                

                  Vaga","R$ 900
                      /Mês

Preço abaixo do mercado"
"Apartamento com 3 Quartos para Aluguel, 85m²","Rua Doutor Antônio Galízia, 79 - Cambuí, Campinas - SP",85,"3
              

                Quartos","2
              

                Banheiros","2
                

                  Vagas","R$ 6.400
                      /Mês"
"Casa com 2 Quartos para Aluguel, 75m²","Rua Tenente Lorival Bertinoti, 852 C - Village Campinas, Campinas - SP",75,"2
              

                Quartos","1
              

                Banheiro","2
                

                  Vagas","R$ 1.100
                      /Mês"
Kitnet/Conjugado com  Quarto à Venda/Aluguel 38m²,"Rua Conceição, 286 - Centro, Campinas - SP",38,"1
              

                Quarto","1
              

                Banheiro","--
                

                  Vaga","R$ 650
                      /Mês


                    R$ 140.000"
"Casa com 3 Quartos para Aluguel, 184m²","Rua Maria Assumpta D'Alessandro Bertho - Jardim Santa Genebra, Campinas - SP",184,"3
              

                Quartos","2
              

                Banheiros","2
                

                  Vagas","R$ 2.595
                      /Mês"
"Casa com 3 Quartos para Aluguel, 173m²","Rua Dom Luís Antônio de Sousa, 124 - Jardim Proença, Campinas - SP",173,"3
              

                Quartos","2
              

                Banheiros","3
                

                  Vagas","R$ 2.500
                      /Mês"
"Galpão/Depósito/Armazém    para Aluguel, 227m²","Vila Iza, Campinas - SP",227,"--
              

                Quarto","--
              

                Banheiro","--
                

                  Vaga","R$ 3.500
                      /Mês"
"Apartamento com 2 Quartos para Aluguel, 87m²","Vila Nova, Campinas - SP",87,"2
              

                Quartos","2
              

                Banheiros","2
                

                  Vagas","R$ 2.100
                      /Mês

Preço abaixo do mercado"
"Casa de condomínio com 4 Quartos para Aluguel, 180m²","Avenida Professor Adhelar Matthes - Barão Geraldo, Campinas - SP",180,"4
              

                Quartos","4
              

                Banheiros","4
                

                  Vagas","R$ 4.700
                      /Mês"
"Apartamento com 2 Quartos para Aluguel, 84m²","Rua Latino Coelho, 1301 - Parque Taquaral, Campinas - SP",84,"2
              

                Quartos","2
              

                Banheiros","1
                

                  Vaga","R$ 1.200
                      /Mês

Preço abaixo do mercado"
"Ponto comercial/Loja/Box    para Aluguel, 70m²","Recanto do Sol I, Campinas - SP",70,"--
              

                Quarto","1
              

                Banheiro","--
                

                  Vaga","R$ 1.500
                      /Mês"
"Apartamento com  Quarto para Aluguel, 50m²","Cambuí, Campinas - SP",50,"1
              

                Quarto","2
              

                Banheiros","1
                

                  Vaga","R$ 1.500
                      /Mês"
"Apartamento com  Quarto para Aluguel, 36m²","Centro, Campinas - SP",36,"1
              

                Quarto","1
              

                Banheiro","--
                

                  Vaga","R$ 350
                      /Mês"
Apartamento com 3 Quartos à Venda/Aluguel 134m²,"Avenida Maria Emília Alves dos Santos de Ângelis, 402 - Parque Prado, Campinas - SP",134,"3
              

                Quartos","4
              

                Banheiros","3
                

                  Vagas","R$ 4.490
                      /Mês


                    R$ 1.150.000"
Apartamento com 2 Quartos para Venda/Aluguel 71m²,"Cambuí, Campinas - SP",71,"2
              

                Quartos","2
              

                Banheiros","1
                

                  Vaga","R$ 1.600
                      /Mês


                    R$ 460.000"
"Apartamento com 2 Quartos para Aluguel, 71m²","Rua Rosa Lopes, 222 - Jardim Proença, Campinas - SP",71,"2
              

                Quartos","2
              

                Banheiros","1
                

                  Vaga","R$ 1.300
                      /Mês"
"Casa com 3 Quartos para Aluguel, 300m²","Jardim Quarto Centenário, Campinas - SP",300,"3
              

                Quartos","2
              

                Banheiros","3
                

                  Vagas","R$ 2.200
                      /Mês"
"Apartamento com 2 Quartos para Aluguel, 48m²","Rua Manoel Sylvestre de Freitas Filho - Jardim Nova Europa, Campinas - SP",48,"2
              

                Quartos","1
              

                Banheiro","1
                

                  Vaga","R$ 1.300
                      /Mês"
"Cobertura com 3 Quartos para Aluguel, 129m²","Jardim Chapadão, Campinas - SP",129,"3
              

                Quartos","3
              

                Banheiros","2
                

                  Vagas","R$ 2.650
                      /Mês"
"Casa com 3 Quartos para Aluguel, 155m²","Jardim Tamoio, Campinas - SP",155,"3
              

                Quartos","3
              

                Banheiros","4
                

                  Vagas","R$ 2.300
                      /Mês"
"Apartamento com 3 Quartos para Aluguel, 92m²","Avenida Doutor Nelson Noronha Gustavo Filho, 190 - Vila Brandina, Campinas - SP",92,"3
              

                Quartos","4
              

                Banheiros","2
                

                  Vagas","R$ 4.200
                      /Mês"
"Apartamento com 2 Quartos para Aluguel, 83m²","Rua Olavo Bilac, 410 - Cambuí, Campinas - SP",83,"2
              

                Quartos","2
              

                Banheiros","1
                

                  Vaga","R$ 2.475
                      /Mês"
"Casa com 2 Quartos para Aluguel, 45m²","Avenida Martinho Lutero, 1145 - Jardim São Cristóvão, Campinas - SP",45,"2
              

                Quartos","1
              

                Banheiro","1
                

                  Vaga","R$ 750
                      /Mês"
